recording_id,time_ms,BATvoltage,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,TemperatureC,FSR_voltage,FSR_resistance,Force,TemperatureF,magnitude_of_acceleration_change,magnitude_of_direction_change,seconds,minutes
3,1767,4.29,0.25,8.55,-2.95,-0.27,-0.15,0.23,27.5,0.27,40.52,0.0,81.5,9.048066091712638,0.38509739027939416,1.7670000000000001,0.02945
3,1801,4.29,0.16,9.48,-3.02,0.19,0.12,-0.58,28.0,0.27,40.52,0.0,82.4,9.95069846794686,0.6220128616033594,1.801,0.030016666666666664
3,1823,4.29,0.3,9.52,-3.04,0.11,0.03,0.03,28.02,0.27,40.52,0.0,82.436,9.998099819465697,0.11789826122551596,1.823,0.03038333333333333
3,1845,4.29,0.37,9.42,-3.12,0.11,0.02,0.03,27.99,0.27,40.52,0.0,82.382,9.930140985907501,0.11575836902790225,1.845,0.03075
3,1869,4.29,0.34,9.44,-3.1,0.07,0.02,0.01,28.02,0.27,40.52,0.0,82.436,9.94179058318973,0.07348469228349536,1.869,0.03115
3,1891,4.29,0.36,9.39,-3.06,0.04,0.01,-0.01,28.06,0.27,40.52,0.0,82.508,9.882575575223294,0.042426406871192854,1.891,0.031516666666666665
3,1913,4.29,0.29,9.53,-3.02,0.03,0.0,-0.02,28.04,0.27,40.52,0.0,82.47200000000001,10.00126991936524,0.03605551275463989,1.913,0.03188333333333333
3,1935,4.29,0.29,9.38,-3.1,-0.03,-0.01,-0.05,28.05,0.27,41.01,0.0,82.49000000000001,9.883243394756603,0.05916079783099616,1.935,0.03225
3,1957,4.29,0.22,9.44,-3.28,-0.09,0.02,-0.04,28.06,0.27,41.01,0.0,82.508,9.996019207664618,0.1004987562112089,1.957,0.03261666666666667
3,1979,4.3,0.19,9.55,-3.05,-0.08,0.06,-0.02,28.09,0.27,41.01,0.0,82.562,10.0270185000328,0.1019803902718557,1.979,0.03298333333333334
3,2001,4.29,0.38,9.23,-2.85,-0.03,0.06,-0.01,28.05,0.27,41.01,0.0,82.49000000000001,9.667460886913378,0.06782329983125268,2.001,0.03335
3,2023,4.29,0.32,9.05,-3.1,0.01,0.0,-0.01,28.07,0.27,41.01,0.0,82.52600000000001,9.571567269783984,0.01414213562373095,2.023,0.033716666666666666
3,2047,4.29,0.26,9.26,-3.42,-0.01,-0.02,-0.0,28.03,0.27,41.01,0.0,82.45400000000001,9.874796200428644,0.022360679774997897,2.047,0.03411666666666667
